supermercado,nombre,precio,url,seccion
alcampo,ALCAMPO CULTIVAMOS LO BUENO Naranjas malla 2 kg.,"Precio
2,90 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Pera conferencia cesta de 1 kg.,"Precio
2,18 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO Naranjas malla de 4 kg.,"Precio
4,99 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Alcachofa a granel,"Precio
1,14 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Berenjenas a granel,"Precio
1,45 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Pimientos rojos a granel,"Precio
2,78 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Uvas rojas sin pepitas, cesta 500 g.","Precio
2,48 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Frambuesas, tarrina de 170 g.","Precio
2,18 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Aguacate maduro 335 gr. aproximados,"Precio
3,25 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Tomate rosado a granel,"Precio
3,99 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Fresones tarrina de 1 kg.,"Precio
3,54 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ZESPRI Kiwi Green bandeja 500 g.,"Precio
3,59 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"TORRES Mandarinas 1,5 kg.","Precio
5,18 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"TORRES Naranjas malla 1,5 kg.","Precio
2,99 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzanas fuji 1 kg.,"Precio
2,19 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Tomate negro a granel,"Precio
3,99 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzana Fuji a granel,"Precio
2,59 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzanas pink lady 750 g.,"Precio
3,39 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO ECOLÓGICO Aguacate ecológico 2 uds. 400 g.,"Precio
3,32 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzanas rojas 1 kg.,"Precio
2,19 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Piña entera,"Precio
3,31 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzana Granny Smith a granel,"Precio
2,59 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Granadas a granel,"Precio
2,00 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,AUCHAN BIO Limones ecológicos Malla ALCAMPO CULTIVAMOS LO BUENO ECOLÓGICO 600 g.,"Precio
2,59 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Fresones, tarrina de 250 g.","Precio
1,49 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzana lavada y cortada FLORETTE 80 gramos,"Precio
0,94 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Repollo,"Precio
3,23 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Peras blanquillas a granel,"Precio
2,49 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzanas gala a granel,"Precio
1,98 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Piña en rodajas FRITIFRESH 500 g.,"Precio
4,49 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Pimientos verde a granel,"Precio
3,29 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Ciruela roja a granel,"Precio
3,98 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Plátano macho para freir a granel,"Precio
1,50 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO Manzana Golden a granel.,"Precio
2,69 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzanas Golden bandeja,"Precio
3,49 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Uva roja a granel,"Precio
2,27 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Naranjas ecológicas de mesa 1 kg. ALCAMPO CULTIVAMOS LO BUENO ECOLÓGICO,"Precio
2,55 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzana Pink Lady a granel,"Precio
3,89 €
Aprox",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO ECOLÓGICO Manzanas golden ecológica Bandeja 700 g.,"Precio
2,90 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Uva sin semillas tarrina 500g,"Precio
2,59 €",https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
