supermercado,nombre,precio,url,seccion
ahorramas,Jamón cocido Ferrarini 100 gr,"2,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Bacalao en trozos Angomar 400g,"4,50€",https://www.ahorramas.com/frescos,frescos
ahorramas,Espetec extra Sola pack 2x150g,"3,50€",https://www.ahorramas.com/frescos,frescos
ahorramas,Bacalao en migas Outon 200g,"2,55€",https://www.ahorramas.com/frescos,frescos
ahorramas,Ensalada 4 estaciones Florette 250g,"0,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Mejillón cocido Aguinamar 900g en su jugo,"5,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Queso rallado sin lactosa La Tapería 200g,"1,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Queso en rulo de cabra ya cortado Président pack 2 de 100g,"2,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Queso oveja curado ahumado Albeniz 250 gr.,"3,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Lomo de orza Tello 125gr,"2,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Crema de jamón york Iberitos 250g,"1,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Queso tierno en lonchas light El Ventero 160g,"3,65€",https://www.ahorramas.com/frescos,frescos
ahorramas,Palitos de mar reducidos en sal Pescanova 305g,"2,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Salchicha Wecken 300gr bockwurst,"2,95€",https://www.ahorramas.com/frescos,frescos
ahorramas,Ensalada pasta y rúcula con pollo y queso Florette 325g,"2,79€",https://www.ahorramas.com/frescos,frescos
ahorramas,Salchicha Wecken 300gr bratwurstwecken,"2,95€",https://www.ahorramas.com/frescos,frescos
ahorramas,Maletín Jamón Cebo Ibérico Legado 15X50G,"39,00€",https://www.ahorramas.com/frescos,frescos
ahorramas,Ensalada Ztream pollo crispy Florette 210g,"2,79€",https://www.ahorramas.com/frescos,frescos
ahorramas,Chorizo oreado Palacios pack 2 de 100g,"2,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Queso de untar light Philadelphia 200g,"2,22€",https://www.ahorramas.com/frescos,frescos
ahorramas,Lonchas veganas sabor queso Violife 200g,"2,50€",https://www.ahorramas.com/frescos,frescos
ahorramas,Salchichas coctel Poppenburger 150g,"3,75€",https://www.ahorramas.com/frescos,frescos
ahorramas,Bacalao Angomar en lomos 700g,"13,50€",https://www.ahorramas.com/frescos,frescos
ahorramas,Maletín jamón curado Terra Domine 960g,"32,00€",https://www.ahorramas.com/frescos,frescos
ahorramas,Queso gallego ahumadito Prestes 450gr,"5,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Salchichas alemanas bockwurst Poppenburger 200g,"3,59€",https://www.ahorramas.com/frescos,frescos
ahorramas,Maletín Paleta Cebo Ibérico Legado 15X55G,"39,00€",https://www.ahorramas.com/frescos,frescos
ahorramas,Queso tierno en lonchas El Ventero 160g,"3,65€",https://www.ahorramas.com/frescos,frescos
ahorramas,Bacalao en migas Angomar 250g,"4,50€",https://www.ahorramas.com/frescos,frescos
ahorramas,Queso Quark protein Profeel Valio 175 gr vainilla y arandanos,"1,45€",https://www.ahorramas.com/frescos,frescos
ahorramas,Maletín jamón cebo 50% ibérico Lasencia 840gr,"45,00€",https://www.ahorramas.com/frescos,frescos
ahorramas,Paté Martiko 140 gr Surtidos,"3,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Salmón ahumado Norway Seafood,"3,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Mejillón cocido Aguinamar 900g en tomate,"5,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Preparado alimenticio rallado mozzarella vegano Violife 200g,"2,50€",https://www.ahorramas.com/frescos,frescos
ahorramas,Maletín paleta de cebo campo 50% ibérica Lasencia pack 12 de 70g,"45,00€",https://www.ahorramas.com/frescos,frescos
ahorramas,Maletín Jamón Curado Navidul 640gr,"19,00€",https://www.ahorramas.com/frescos,frescos
ahorramas,Paté Du Chef bloc 100 gr a las finas hierbas,"1,15€",https://www.ahorramas.com/frescos,frescos
ahorramas,Bacalao en palitos Angomar 300g,"6,75€",https://www.ahorramas.com/frescos,frescos
ahorramas,Paté Du Chef bloc 100 gr a la pimienta verde,"1,15€",https://www.ahorramas.com/frescos,frescos
ahorramas,"Plátano canario bolsa 1,2 kg aproximadamente","3,20€",https://www.ahorramas.com/frescos,frescos
ahorramas,Tomate rojo rama,"2,29€",https://www.ahorramas.com/frescos,frescos
ahorramas,Mandarina Fontestad,"4,69€",https://www.ahorramas.com/frescos,frescos
ahorramas,Patata,"2,09€",https://www.ahorramas.com/frescos,frescos
ahorramas,Plátano canario Gabaceras,"3,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Burger meat de añojo angus 150g,"2,30€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pimiento verde italiano,"2,69€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pimiento rojo lamuyo,"2,89€",https://www.ahorramas.com/frescos,frescos
